ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
327,Rick and Morty,helmet,memory,,"comics, game, sitcom",Creating wafers doused in the psychic resonance of Simple Rick and his memory of having spent time with a young Beth on her birthday,memories,2017,2146,130,dystopia,Non-invasive,0.038461538,0.032467532,0.844155844,N/A,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,1-Jan-17
328,Rick and Morty,helmet,"emotions, memory",,"comics, game, sitcom",Emotions-reading headset ,emotions,2014,2146,133,dystopia,Non-invasive,0.060150376,0.050955414,0.847133758,N/A,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,1-Jan-14
329,Wonder Woman,"helmet, tiara",robot/object control,,"Movie, TV Series, comics","Tiara to control Wonder Woman's invisible ('Robot') plane. Wonder Woman’s star-tiara (as she called) was found one day while she was rocketing through outer space. She noticed a crimson glow from a star in the Milky Way. It was the planet Alpha Negra. As she turned to investigate in her Amazon Plane, she noticed another star heading to Alpha Negra. She headed towards the dead star that should not have been emitting any light. As she hovered in orbit, a large object begin to fire rays at her. As she takes evasive action, she sees a building that has opened its roof for her to enter. The old scientist inside, greets her and explains that she has drawn the wrath of Phenegs. Surprised, Wonder Woman says that she thought they destroyed themselves in the battle that supposedly destroyed Alpha Negra. Wonder Woman decides to leave and take the battle with her. As fate would have it, the Phenegs destroyed themselves. She then heads back to the planet surface to see the old scientist. He presents her for a gift with the galaxy’s gratitude for her mighty deed. A ‘necklace of freedom’ he had acquired in the battle against the Phenegs. When she returned to earth, she decided to wear it as tiara.",N/A,1942,2021,80,utopia,Non-invasive,1,0.349344978,0.349344978,Tiara,William Moulton Marston,Warner Bros. Pictures,Warner Bros. Pictures,1-Jan-42
330,Firefox,helmet,robot/object control,,"Movie, Novel","Aircraft controlled by a thought, the “commands” should be issued in Russian, strictly",N/A,1982,2031,50,dystopia,Non-invasive,0.8,0.211640212,0.264550265,N/A,"Clint Eastwood, Craig Thomas",Warner Bros. Pictures,Malpaso Productions,1-Jan-82
331,The Amazing Spider Man,"exoskeleton, implant, robot","robot/object control, telepathy",,"Movie, TV Series, comics, game","Due to exposure to atomic radiation, Doctor Octopus has acquired the mental ability of psychokinetic control over the four electrically powered, artificial tentacle ""arms"" (a degree of psychokinetic control over them that he can also exercise over vast distances even when they are not connected to him) that are attached to a stainless-steel harness encompassing his lower torso.
He has also developed psychokinetic-telepathic control over an army of ""Octobots"" (small octopus-like drones).","robotic control, telepathy",1963,2026,64,utopia,"Invasive, Non-invasive",0.921875,0.283653846,0.307692308,N/A,"Stan Lee, Steve Ditko",Sony Pictures Releasing,"Columbia Pictures, Marvel Studios",1-Jan-63
332,Star Trek: Enterprise,implant,robot/object control,,"Anime, Movie, TV Series, comics, game","A synaptic transceiver was a device invented by The Doctor in an alternate2392, for use in piloting a vessel equipped with a neural interface. Implanted in the cerebral cortex, the device allowed synaptic interface to be established between the user's mind and the vessel's controls.",piloting,2001,2021,21,"dystopia, utopia",Invasive,1,0.123529412,0.123529412,Synaptic Transceiver,"Brannon Braga, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-01
333, Star Trek: The Next Generation,tool,robot/object control,,"Anime, Movie, TV Series, comics, game","The Altonian brain teaser was a puzzle that responded to neural theta waves. The game was available in Quark's holosuites in 2369, and Jadzia Dax played it on several occasions.
The game consisted of an iridescent sphere, which the player attempted to turn into a solid color. To do so required complete clarity of the mind, and the player needed focus entirely on the task at hand, and no physical contact was involved. If, as was the case with Julian Bashir, one's mind was not focused, the sphere itself would disappear. Dax told him that she had been trying to master the game for 140 years or so. ",meditation,1993,2021,29,utopia,Non-invasive,1,0.162921348,0.162921348,Altonian brain teaser,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-93
334,"Star Trek: The Original Series, S1 EP11-12 ""The Menagerie""",N/A,"communication, robot/object control",,TV Series,answering yes/no questions with the aid of a device operated by his brainwaves,"communication, disability",1966,2021,56,utopia,N/A,1,0.273170732,0.273170732,N/A,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",1-Jan-66
335,Star Wars,lifeform,"robot/object control, telepathy",,"Movie, TV Series, comics, game","The Force, known to the Kwa as the Power of Cosmos and referred to as the Breath of Gelgelar by the Gelgelar resident Wise Man of Kooroo, was a metaphysical, spiritual, binding, and ubiquitous power that held enormous importance for both the Jedi and Sith monastic orders. Known as the Way in ancient times, the Force was viewed in many different aspects, including, but not limited to, the Light side of the Force, the Dark side of the Force, the Living Force, the Unifying Force, the Cosmic Force and the Physical Force. Some Force-sensitive characters derive special, psychic abilities from it, such as telekinesis, mind control, and extrasensory perception. ",N/A,1980,2146,167,utopia,bio,0.251497006,0.219895288,0.87434555,The Force ,George Lucas,20th Century Fox,Lucasfilm Ltd.,1-Jan-80
336,The Men Who Stare at Goats,N/A,"robot/object control, telepathy",,Movie,"A possibility of telepathy, as well as to move, control objects using one’s brain activity, including living species like animals or humans. Killer functionality","assasination, telepathy",2004,2121,118,"dystopia, utopia",N/A,0.152542373,0.107784431,0.706586826,psychic spy unit,Grant Heslov,"Mandate Pictures, Oyeture Films","BBC Films, Smokehouse Pictures",1-Jan-04
337,Stranger Things,N/A,"reading thoughts, robot/object control, telepathy",,TV Series,"A possibility of telepathy, as well as to move, control objects using one’s brain activity, including living species like animals or humans.",telepathy,2016,2121,106,"dystopia, utopia",N/A,0.056603774,0.038709677,0.683870968,N/A,The Duffer Brothers,Netflix,"21 Laps Entertainment, Monkey Massacre",1-Jan-16
338,Rick and Morty,hair tool,robot/object control,,"comics, game, sitcom",Controlling object - hair clips - using one’s brain activity designed by a father for his daughter as a child’s toy to keep her busy.,N/A,2017,2021,5,utopia,Non-invasive,1,0.032467532,0.032467532,N/A,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,1-Jan-17
339,The Peripheral,helmet,robot/object control,,"Novel, TV Series",robot-controlling headset; mentally controlled guns,law enforcement,2014,2026,13,"dystopia, utopia",Non-invasive,0.615384615,0.050955414,0.082802548,crown,William Gibson,Warner Bros. Television,"Amazon Studios, Kilter Films",1-Jan-14
340,"Intelligence, EP6 Patient Zero",headset,robot/object control,,"Movie, Novel",Headset to control a drone,law enforcement,2014,2021,8,utopia,Non-invasive,1,0.050955414,0.050955414,N/A,Michael Seitzman,"CBS, Disney-ABC","ABC Studios, CBS Television Studios, Michael Seitzman's Pictures",1-Jan-14
341,Hot Head,N/A,robot/object control,,Novel,brain is wired to military hardware,military,1992,2026,35,"dystopia, utopia",N/A,0.857142857,0.167597765,0.195530726,N/A,Simon Ings,N/A,N/A,1-Jan-92
342,Charne Oceany,implant,robot/object control,,Movie,biotechnological implants allowing people control over computers via brain-computer interfaces.,N/A,2001,2021,21,utopia,Invasive,1,0.123529412,0.123529412,N/A,Jacek Dukaj,N/A,N/A,1-Jan-01
343,Angelic Layer,N/A,robot/object control,,"Anime, comics","players (called Deus) buy and custom-design dolls known as Angels that are moved by mental control when on a field called the ""layer.""",N/A,1999,2026,28,"dystopia, utopia",N/A,0.821428571,0.13372093,0.162790698,N/A,"Clamp, Hiroshi Nishikiori",N/A,Bones,1-Jan-99
344,Call Me Joe,N/A,robot/object control,,Novel,paraplegic man whose mind remotely controls an alien body,disability,1957,2146,190,"dystopia, utopia",Non-invasive,0.342105263,0.303738318,0.887850467,N/A,Poul Anderson,N/A,N/A,1-Jan-57
345,Star Trek: Deep Space Nine,helmet,recording brain activity,,"Anime, Movie, TV Series, comics, game",A multitronic engrammatic interpreter was a component that used multitronic technology to encode and decode signals from the neural pathways of the brain.,N/A,1999,2031,33,utopia,Non-invasive,0.696969697,0.13372093,0.191860465,Multitronic Engrammatic Interpreter,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-99
346,Strange Days,helmet,recording brain activity,,Movie,"Helmet-like interlace, almost like a hair net, but rigid, which fits snugly over the cranium, from the top of the forehead to the back of the neck.
Small enough to fit under a wig or hat, the device is connected by a thin wire to a computer pack elsewhere on the body. It is designed specifically to record and playback brain impulses. It records the electrochemical composition of many key areas of the brain carefully, to the point that all sensory input is recorded and preserved, along with emotional responses, activation of the pleasure center, and more. All continuing in one long recording, for the duration the active recording array is being worn.",N/A,1995,2026,32,utopia,Non-invasive,0.84375,0.153409091,0.181818182,Simstim,Kathryn Bigelow,20th Century Fox,LightStorm Entertainment,1-Jan-95
347,Diaspora,N/A,recording brain activity,,Novel,record the brain's information states as it is chemically converted into a crystalline computer,N/A,1997,2041,45,"dystopia, utopia",N/A,0.555555556,0.143678161,0.25862069,nanomachine,Greg Egan,N/A,N/A,1-Jan-97
348,Propagandist,N/A,"emotions, memory, recording brain activity",,Novel,"A device capable of taking impressions, feelings and memories from living brains; it can be used on animals as well.",N/A,1947,2146,200,"dystopia, utopia",N/A,0.375,0.334821429,0.892857143,Psychoscanner,Murray Leinster,N/A,N/A,1-Jan-47
349,A Scanner Darkly,tool,recording brain activity,,"Movie, Novel",A brain-scan device with a screen to display neural patterns,N/A,1977,2021,45,utopia,N/A,1,0.231958763,0.231958763,Cephalochromoscope (Cephscope),"Philip K. Dick, Richard Linklater",Warner Bros. Pictures,"Section Eight, Thousand Words",1-Jan-77
350,"House M.D., S6 EP16 ""Black Hole""",helmet,recording brain activity,,TV Series,"an experimental procedure called ""cognitive pattern recognition"" to map the unconscious thoughts of the user",unconsciousness,2010,2031,22,"dystopia, utopia",Non-invasive,0.545454545,0.074534161,0.136645963,N/A,Greg Yaitanes,"Fox, NBC Universal Television","Heel and Toe Films, Universal Media Studios",1-Jan-10
351, Star Trek: Deep Space Nine,implant,termination,,"Anime, Movie, TV Series, comics, game","The termination implant was a device attached to the brain stem of Vorta operatives of the Dominion. It was triggered by hand with a gesture that applied pressure with the index finger behind the right earlobe and the thumb under the jaw. When the device was activated (voluntarily) by the owner, it caused near-instant, painful death (though the Founders told the Vorta that death would be painless, this was proven not entirely true). Its purpose was to prevent Vorta – and the strategic information they possessed – from falling into enemy hands.",assasination,1998,2031,34,"dystopia, utopia",Invasive,0.705882353,0.138728324,0.196531792,Termination Implant,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Pictures,1-Jan-98
352,Cantata 140,N/A,termination,,Novel,A device that homed in on a person's brain wave pattern; a very specific assassination device,assasination,1964,2041,78,dystopia,N/A,0.743589744,0.280193237,0.376811594,Boulder,Philip K. Dick,N/A,N/A,1-Jan-64
353,Lord of Light,N/A,termination,,Novel,An assassination device; senses brain waves to find its victim,assasination,1967,2041,75,dystopia,N/A,0.733333333,0.269607843,0.367647059,Mechanical Cobra,Roger Zelazny,N/A,N/A,1-Jan-67
354,Inception,N/A,dreams,,Movie,"A device used for administering the drug Somnacin to dreamers in the field.
Somnacin is the name of the drug used to initiate dream sharing and lucid dreaming.",sleep,2010,2071,62,dystopia,Non-invasive,0.193548387,0.074534161,0.385093168,"Portable Automated Somnacin IntraVenous Device
PASIV Device",Christopher Nolan,Warner Bros. Pictures,"Legendary Pictures, Syncopy",1-Jan-10
355,Fringe,implant,dreams,,TV Series,"brain–computer interface chip attached to the thalamus, the part of the brain controlling dreams.",sleep,2009,2041,33,dystopia,Invasive,0.393939394,0.080246914,0.203703704,N/A,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television",1-Jan-09
356,Paprika,earpiece,dreams,,Movie,"A therapy tool that allows a psychotherapist to enter a patient's dreams; device that resembles a bluetooth cellphone earpiece. The device allows psychotherapists to actually enter the dreamworld of their patients. It has the ability to record them with the capability of playback, allowing for it to be used as a form of mass therapy by a larger psychiatric corporation that benefits economically and socially from such a device.",sleep,2007,2096,90,"dystopia, utopia",Non-invasive,0.166666667,0.091463415,0.548780488,DC Mini,Satoshi Kon,Sony Pictures Entertainment Japan,Madhouse,1-Jan-07
357,The Dream Master,helmet,"control of the user, dreams",,Novel,"This is a world ripe for psychotherapeutic innovations, such as the ""neuroparticipant therapy"" in which the protagonist, Charles Render, specializes. In neuroparticipation, the patient is hooked into a gigantic simulation controlled directly by the analyst's mind; the analyst then works with the patient to construct dreams—nightmares, wish-fulfillment, etc.--that afford insight into the underlying neuroses of the patient, and in some cases the possibility of direct intervention. (For example, a man submerging himself in a fantasy world sees it utterly destroyed at Render's hands, and is thus ""cured"" of his obsession with it.)","medical, sleep",1966,2121,156,"dystopia, utopia",Non-invasive,0.358974359,0.273170732,0.76097561,neuroparticipant therapy,Roger Zelazny,N/A,N/A,1-Jan-66
358,Warcross,"glasses, lenses","XR, reality",,Novel,"The Neuro-Link is a brain-computer interface and software used to play Warcross, and helps the brain manipulate images and renderings almost indistinguishable from reality. Variants include glasses or contact lenses, which assist the brain in creating such images. It was created by Hideo Tanaka when he was 13. Newer versions are still being made the latest versions are contact lenses and were made by him when he was 28.","gaming, simulations",2017,2041,25,"dystopia, utopia",Non-invasive,0.2,0.032467532,0.162337662,Neurolink,Marie Lu,N/A,N/A,1-Jan-17
359,Virtual Light,glasses,XR,,Novel,The glasses are a new kind of virtual reality unit called 'Virtual Light' which directly feed the optic nerve with EMP to create images.,XR,1993,2041,49,dystopia,Non-invasive,0.591836735,0.162921348,0.275280899,hood hologram,William Gibson,N/A,N/A,1-Jan-93
360,Clans of the Alphane Moon,N/A,tracking,,Novel,Device can locate an individual using brain patterns,tracking,1964,2031,68,dystopia,N/A,0.852941176,0.280193237,0.328502415,Cephalic Sniffer,Philip K. Dick,N/A,N/A,1-Jan-64
361,"Lies, Inc. (The Unteleported Man)",N/A,tracking,,Novel,"A slim, short-range device that homes in on the brain wave pattern of the target",tracking,1964,2031,68,dystopia,N/A,0.852941176,0.280193237,0.328502415,Cephalotropic Dart,Philip K. Dick,N/A,N/A,1-Jan-64
362,Divergent,drug,control of the user,,Movie,"The rest of the Dauntless are injected with a serum supplied by Erudites, which is supposedly for tracking but actually for mind control.","brainwash, cooperation",2011,2071,61,dystopia,N/A,0.180327869,0.06875,0.38125,TRUTH SERUM,"Neil Burger, Veronica Roth",Lionsgate Premiere,"Red Wagon Entertainment, Summit Entertainment",1-Jan-11
363,Elysium,"earpiece, implant, software","cerebral defense, knowledge upload, linking, storage",,Movie,"Neural implant used to access cranial data, or brain data. Cranial Data, or Brain data is an arrangement of scripts or code, or even full data, that is stored in a computer chip implanted within someone's brain.
It seems that cranial data is a normal medium used by Elysium's citizens to secure and protect extremely sensitive data for transport, similar to a modern-day flash drive, but far more secure. There also appears to be data defense programs, such as the Sabre Cerebral Defense program that is being used to secure the code when one of the heroes uploads it into his brain, that provides further security in case someone attempts to use the code in an unauthorized manner.
With cranial data, just like any other type of data, it is possible for people to implant devices into the brain that is capable of syncing and ""grabbing"" the cranial data from the individual. This action is referred to as a data heist and is considered a type of theft. It is also hinted at in the movie that bank account codes and other financial security information is held in the cranial data bank, which would imply that the cranial data implant also functions as a security measure to authorize funds or even access to secured areas.","backup, cerebral defense, software, storage, tracking",2013,2041,29,"dystopia, utopia",Invasive,0.310344828,0.056962025,0.183544304,Sabre Cerebral Defense,Neill Blomkamp,Sony Pictures Releasing,"Media Rights Capital, TriStar Pictures",1-Jan-13
364,Cyberpunk 2077,implant,"knowledge upload, linking, storage",,game,"Netrunners are the types of savvy computer hackers you would find in the movie Hackers, but with a cybernetically augmented interface system implanted into their body. Using their brain-computer interface implants, they roam the Internet, looking for systems to hack and information to sell to fixers. Although anyone can enter the Net, most people can't use the ""Menu."" The Menu is a group of Applications (Apps) that are Interface programs that allows a Netrunner to Locate Remote, Run Software, Control Remote, LDL Link, Load, Create and Delete.",N/A,2021,2071,51,dystopia,Invasive,0.019607843,0.006666667,0.34,N/A,N/A,N/A,CD Projekt,1-Jan-21
365,Zack Snyder's Justice League,lifeform,"linking, manipulation, memory, reading thoughts",,Movie,"robotic spider-like system used to access memories. Mind Control: He can, besides control individual targets via his parasites, mentally influence a sizable crowd of ordinary humans with relative ease. 
Remote Mental Influence: Even without a Starro parasite directly controlling a host, The larger Starro can influence minds on a more indirect level by reaching out to the dreaming within the resting subconscious mind. Able to appropriate induced sleep within a host to ensnare them within its own wakeless fantasy allowing it to probe and assimilate the minds of countless potential vessels that it can then seed with a smaller Starro organism later on. The victim/host will have nausea, headaches, fatigue, dizziness, migraines, heavy drowsiness, or blackouts while awake from Starro's telepathically effects.","group mind, parasites",2021,2121,101,dystopia,Semi-invasive,0.00990099,0.006666667,0.673333333,Starro,Zack Snyder,HBO Max,"DC Films, Warner Bros. Pictures",1-Jan-21
366,The Brave and the Bold Vol 1 28,lifeform,"control of the user, manipulation, memory, reading thoughts",,comics,"Mind Control: Starro can, besides control individual targets via his parasites, mentally influence a sizable crowd of ordinary humans with relative ease. 
Remote Mental Influence: Even without a Starro parasite directly controlling a host, The larger Starro can influence minds on a more indirect level by reaching out to the dreaming within the resting subconscious mind. Able to appropriate induced sleep within a host to ensnare them within its own wakeless fantasy allowing it to probe and assimilate the minds of countless potential vessels that it can then seed with a smaller Starro organism later on. The victim/host will have nausea, headaches, fatigue, dizziness, migraines, heavy drowsiness, or blackouts while awake from Starro's telepathically effects.","group mind, parasites",1960,2121,162,dystopia,Semi-invasive,0.382716049,0.293838863,0.767772512,Star Conqueror,Bob Haney,N/A,N/A,1-Jan-60
367,"Futurama, S7 EP10 ""Game of Tones""","helmet, tool","dreams, memory",,sitcom,a device to read memory of the person in a contactless manner. A helmet to induce dreams to access that memory.,N/A,2013,2171,159,"dystopia, utopia","Non-invasive, non-contact",0.056603774,0.056962025,1.006329114,radio-cranial dream injector,Matt Groening,20th Television,"20th Century Fox Television, Rough Draft Studios, The Curiosity Company",1-Jan-13
368,"The Unstable Grey Hole, Solar Opposites",implant,manipulation,,Anime,Brain Control Devices are used to manipulate and control humans,N/A,2020,2121,102,dystopia,Semi-invasive,0.019607843,0.013245033,0.675496689,Brain Control Device ,"Anthony Chun, Bob Suarez",Disney Platform Distribution,Important Science,1-Jan-20
369,American Dad!,"helmet, tank with water",memory,,sitcom,"""the goo,"" a CIA device that implants false memories.",N/A,2007,2171,165,dystopia,Non-invasive,0.090909091,0.091463415,1.006097561,Goo,"Matt Weitzman, Mike Barker, Seth MacFarlane","20th Television, Fox","20th Television, Fuzzy Door Productions",1-Jan-07
370,Godzilla vs. Kong,helmet,linking,,Movie,"Mechagodzilla is telepathically controlled by Ren Serizawa, the son of the late Ishir_ Serizawa, through the neural networks from a severed head of Ghidorah.",N/A,2021,2041,21,"dystopia, utopia",Non-invasive,0.047619048,0.006666667,0.14,N/A,Adam Wingard,"Toho, Warner Bros. Pictures",Legendary Pictures,1-Jan-21
371,Darkover series,stone,telepathy,,"Novel, game","the noble caste (referred to as ""Comyn""), have telepathy as one of their defining features, along with red hair. With a society where most of the people have telepathy has led to interesting social rules like 'Do not enter another's mind without permission' and if one accidentally 'hears' something they weren't meant to, it is considered polite not to mention it.  The brain emits psychic waves called energons. Each person emits them at a different frequency, once a matrix is keyed or attuned to a telepath, its frequency becomes similar to that brain. The flow of energons is then amplified by passing through the matrix. The telepath controls this flow and is able to convert the energy into various phenomena.",N/A,1958,2146,189,"dystopia, utopia",Non-invasive,0.338624339,0.300469484,0.887323944,matrix,Marion Zimmer Bradley,N/A,N/A,1-Jan-58
372,Easy Money,helmet,control of the user,,Novel,A device which causes an entire race of people to think and feel the same as the wearer.,N/A,1938,2146,209,dystopia,Non-invasive,0.401913876,0.360515021,0.896995708,Control Helmet,Edmond Hamilton,N/A,N/A,1-Jan-38
373,The Comet Doom,brain,brain transfer,,Novel,A robotic body with a support system for a connected organic brain. It involved a process of placing a human brain into an artificial solution to keep it alive while carefully wiring up to a metal robot. These connections allowed the brain to control the metal robot body as if it were its own.,N/A,1929,2146,218,"dystopia, utopia",N/A,0.426605505,0.384297521,0.900826446,N/A,Edmond Hamilton,N/A,N/A,1-Jan-29
374,Murder in the Void,N/A,brain transfer,,Novel,"Preserving a brain, and then communicating with it.",N/A,1938,2221,284,"dystopia, utopia",N/A,0.295774648,0.360515021,1.21888412,N/A,Edmond Hamilton,N/A,N/A,1-Jan-38
375,Masson's Secret,"earphone, tool","linking, recording brain activity",,Novel,"A device that communicated with a brain implant, granting both sight and control.",N/A,1939,2121,183,"dystopia, utopia",Non-invasive,0.453551913,0.357758621,0.788793103,Neuronic Control Apparatus,Raymond Z. Gallun,N/A,N/A,1-Jan-39
376,Masson's Secret,implant,"control of the user, recording brain activity",,Novel,"A device which, implanted in the brain, can both transmit sight and sound, and enable control of the body by a remote operator.",N/A,1939,2096,158,"dystopia, utopia",Invasive,0.525316456,0.357758621,0.681034483,Neuronic Receptor-Transmitter,Raymond Z. Gallun,N/A,N/A,1-Jan-39
377,Slan,N/A,cerebral defense,,Novel,A mental defense or barrier that prevents access to one brain by another person or device.,N/A,1940,2121,182,"dystopia, utopia",N/A,0.450549451,0.354978355,0.787878788,Mind-Shield,A. E. van Vogt,N/A,N/A,1-Jan-40
378,Agent of Vega,N/A,reading thoughts,,Novel,An autonomous mind-probe,N/A,1949,2121,173,dystopia,N/A,0.421965318,0.328828829,0.779279279,Quizzer,James H. Schmitz,N/A,N/A,1-Jan-49
379,Agent of Vega,lifeform,control of the user,,Novel,Takes over the cognition of a host organism.,N/A,1949,2146,198,dystopia,N/A,0.368686869,0.328828829,0.891891892,Mind-Parasite,James H. Schmitz,N/A,N/A,1-Jan-49
380,Agent of Vega,N/A,telepathy,,Novel,A device for long distance communication that makes use of telepathy.,N/A,1949,2146,198,"dystopia, utopia",N/A,0.368686869,0.328828829,0.891891892,Telepath Transmitter,James H. Schmitz,N/A,N/A,1-Jan-49
381,Foundation and Empire,N/A,reading thoughts,,Novel,A device capable of discerning truthful information in a living human brain.,N/A,1952,2031,80,dystopia,N/A,0.875,0.319634703,0.365296804,Psychic Probe,Isaac Asimov,N/A,N/A,1-Jan-52
382,Foundation and Empire,N/A,emotions,,Novel,An entertainment device which appeared to create both sound and light by acting directly on brain cells. It also stimulated emotions directly.,N/A,1952,2146,195,"dystopia, utopia",N/A,0.358974359,0.319634703,0.890410959,Visi-Sonor,Issac Asimov,N/A,N/A,1-Jan-52
383,The Space Merchants,N/A,"advertisement, manipulation",,Novel,An advertising agency works with every part of the audience's brain.,N/A,1952,2031,80,dystopia,N/A,0.875,0.319634703,0.365296804,Compulsive Subsonics,"Cyril M. Kornbluth, Frederik Pohl",N/A,N/A,1-Jan-52
384,The Space Merchants,N/A,dreams,,Novel,"A device that guarantees quick, surrogate sleep.",N/A,1952,2031,80,"dystopia, utopia",N/A,0.875,0.319634703,0.365296804,Hypnoteleset,"Cyril M. Kornbluth, Frederik Pohl",N/A,N/A,1-Jan-52
385,Sales Pitch,N/A,advertisement,,Novel,An advertisement that forces its way directly into the brain of the viewer.,N/A,1954,2031,78,dystopia,N/A,0.871794872,0.313364055,0.359447005,Visual Ad,Philip K. Dick,N/A,N/A,1-Jan-54
386,The Hood Maker ('Immunity'),hood,cerebral defense,,"Novel, TV Series",A device that blocks attempts to see into the contents of the brain mind.,N/A,1955,2041,87,"dystopia, utopia",Non-invasive,0.770114943,0.310185185,0.402777778,Probe Screen Hood,Philip K. Dick,Sony Pictures Releasing,"Amazon Studios, Anonymous Content, Channel 4 TV Corporation",1-Jan-55
387,The Unreconstructed M,tool,reading thoughts,,Novel,A device that provides access based on neurological data.,N/A,1957,2031,75,"dystopia, utopia",Non-invasive,0.866666667,0.303738318,0.35046729,Neural Door Lock,Philip K. Dick,N/A,N/A,1-Jan-57
388,"Flow My Tears, The Policeman Said",tool,"reading thoughts, tracking",,Novel,Detection of unique characteristics of the person's brain at a distance.,N/A,1974,2031,58,dystopia,Non-invasive,0.827586207,0.243654822,0.294416244,EEG-Gram Projection,Philip K. Dick,N/A,N/A,1-Jan-74
389,The Electric Ant,UAV,tracking,,Novel,Unmanned aerial vehicles (UAVs) that track individuals using their brain patterns,N/A,1969,2041,73,dystopia,Non-invasive,0.726027397,0.262376238,0.361386139,Ident Darts,Philip K. Dick,N/A,N/A,1-Jan-69
390,Galactic Pot-Healer,tool,manipulation,,Novel,"A device that provided the conviction that a faked scene was, in fact, real.",N/A,1969,2051,83,"dystopia, utopia",Non-invasive,0.638554217,0.262376238,0.410891089,Psycho-Lease Encephalic Gadget,Philip K. Dick,N/A,N/A,1-Jan-69
391,Service Call,lifeform,reading thoughts,,Novel,An artificially evolved telepathic metazoan-based mind control device.,N/A,1955,2146,192,dystopia,N/A,0.348958333,0.310185185,0.888888889,Swibble,Philip K. Dick,N/A,N/A,1-Jan-55
392,The City and the Stars,N/A,consciousness transfer,,Novel,"A method for storing the mind and memories of a person, and recalling and reconstituting them at will.",N/A,1956,2146,191,"dystopia, utopia",N/A,0.345549738,0.306976744,0.888372093,Virtual Immortality,Arthur C. Clarke,N/A,N/A,1-Jan-56
393,Gray Lensman,N/A,cerebral defense,,Novel,A device that prevents other people from taking over control of your thoughts and mind.,cerebral defense,1942,2096,155,utopia,N/A,0.516129032,0.349344978,0.676855895,Thought-Screen,E.E. 'Doc' Smith,N/A,N/A,1-Jan-42
394,Dune Messiah,N/A,knowledge upload,,Novel,A device to imprint particular facts from a book upon the brain of the reader.,N/A,1969,2071,103,"dystopia, utopia",N/A,0.514563107,0.262376238,0.50990099,Mnemonic Flutter System (Pulse-Sychronizer),Frank Herbert,N/A,N/A,1-Jan-69
395,Dune,N/A,knowledge upload,,Novel,A feature of filmbook recordings that helps imprint knowledge on the mind of the user.,N/A,1965,2071,107,"dystopia, utopia",N/A,0.53271028,0.276699029,0.519417476,Mnemonic Pulse,Frank Herbert,N/A,N/A,1-Jan-65
396,A Planet Named Shayol,N/A,memory,,Novel,"A method for wiping clean the mind of a human being, leaving only enough to run the body's functions.",N/A,1961,2096,136,dystopia,N/A,0.448529412,0.29047619,0.647619048,Mind Destroyer,Cordwainer Smith,N/A,N/A,1-Jan-61
397,Mindkiller,N/A,memory,,"Movie, Novel",A process that selectively and effectively erases human memory. ,N/A,1982,2096,115,dystopia,N/A,0.347826087,0.211640212,0.608465608,Mindwipe,Spider Robinson,N/A,Flash Features,1-Jan-82
398,Heretics of Dune,N/A,memory,,Novel,A device that looks at brain tissue so carefully that memories can be seen.,N/A,1984,2221,238,"dystopia, utopia",N/A,0.159663866,0.203208556,1.272727273,Ixian Probe,Frank Herbert,N/A,N/A,1-Jan-84
399,Nanotime,implant,manipulation,,Novel,A person whose organic brain has been effectively superseded by a firmware (integrated circuit or more advanced technology) device.,N/A,1961,2096,136,dystopia,Invasive,0.448529412,0.29047619,0.647619048,Chiphead,Bart Kosko,N/A,N/A,1-Jan-61
400,Millennium,implant,knowledge upload,,Novel,Added boost for maxxed out minds.,N/A,1983,2096,114,"dystopia, utopia",Invasive,0.342105263,0.207446809,0.606382979,Cerebral Microprocessors,John Varley,N/A,N/A,1-Jan-83
401,Earth Made of Glass,N/A,consciousness transfer,,Novel,"A device that imparts memories into the regrown brain, just like uploading content into a computer's random access memory.",N/A,1998,2146,149,"dystopia, utopia",N/A,0.161073826,0.138728324,0.861271676,Emblok,John Barnes,N/A,N/A,1-Jan-98
402,The Demolished Man,N/A,reading thoughts,,Novel,A person to perceive the contents of another person's mind.,N/A,1996,2071,76,dystopia,N/A,0.342105263,0.148571429,0.434285714,Esper,Alfred Bester,N/A,N/A,1-Jan-96
403,Hella,implant,"communication, stimulation",,Novel,A neural implant that helps an autistic child to live a more complete life.,autism,2020,2071,52,utopia,Invasive,0.038461538,0.013245033,0.344370861,Bio-Implant (Compensator Chip),David Gerrold,N/A,N/A,1-Jan-20
